Player,serveRating,1stServePct,1stServePointsWonPct,2ndServePointsWonPct,serviceGamesWonPct,avgAcesPerMatch,avgDblFaultsPerMatch
Marcel Granollers,255.2,61.20%,68.70%,49.40%,74.10%,4.1,2.3
Nicklas Kulti,255,56.50%,72.20%,48.30%,76.10%,5.2,3.3
Denis Kudla,255,58.10%,69.40%,50.40%,74.80%,5.8,3.5
Nicolas Massu,254.9,58.90%,69.20%,49.90%,75.40%,4.4,2.9
Florent Serra,254.9,61.30%,67.40%,50.00%,74.40%,3.8,2
Justin Gimelstob,254.8,57.60%,72.40%,46.50%,76.00%,6.7,4.4
Simon Youl,254.8,60.10%,70.50%,48.20%,75.00%,4.3,3.3
Dominik Hrbaty,254.7,56.70%,71.30%,49.70%,76.00%,5.1,4.1
Javier Sanchez,254.6,65.60%,66.90%,48.50%,73.60%,2.5,2.5
Hugo Armando,254.5,61.20%,67.10%,50.50%,75.30%,2.9,2.5
Alexander Popp,254.5,62.50%,69.60%,47.90%,74.90%,4.5,4.9
Ivo Minar,254.4,58.70%,68.80%,50.00%,74.00%,5.3,2.4
Gerald Melzer,254.4,64.00%,67.00%,49.10%,72.80%,4.1,2.6
Mikhail Kukushkin,254.3,60.70%,66.50%,51.30%,74.10%,3.3,1.6
Wayne Odesnik,254.3,61.90%,66.80%,50.30%,72.90%,5.2,2.8
Roberto Carballes Baena,254.1,61.90%,68.10%,49.60%,74.70%,3.1,3.3
Brad Gilbert,254,56.30%,72.30%,47.70%,75.90%,5.5,3.7
Goran Prpic,254,71.50%,63.80%,48.30%,70.50%,2.4,2.5
Byron Black,253.9,60.30%,67.80%,50.60%,74.50%,3.4,2.7
Kenny Thorne,253.9,62.70%,68.90%,47.00%,74.10%,4.7,3.5
Yuichi Sugita,253.9,60.80%,68.10%,49.30%,74.70%,3.6,2.6
Ramon Delgado,253.8,59.50%,68.50%,48.70%,73.50%,6.6,3
Sebastien Lareau,253.7,59.90%,71.30%,45.40%,75.30%,6.4,4.6
Albert Montanes,253.7,60.40%,69.00%,49.50%,74.60%,3.4,3.2
Christian Bergstrom,253.6,65.10%,64.90%,49.80%,73.20%,2.7,2.1
Francisco Clavet,253.5,63.60%,65.30%,51.70%,73.30%,1.8,2.2
Guillermo Perez-Roldan,253.5,68.20%,63.40%,50.20%,71.70%,1.3,1.3
Christian Saceanu,253.5,62.30%,71.10%,45.30%,75.20%,4.6,5
Thierry Ascione,253.4,64.80%,66.30%,49.00%,72.40%,3.6,2.7
Jonas Bjorkman,253.3,57.50%,70.40%,49.20%,75.40%,4.2,3.4
George Bastl,253.3,64.90%,67.00%,46.90%,72.10%,5.4,3
Jozef Kovalik,253.3,60.70%,68.20%,49.40%,74.20%,3.6,2.8
Vladimir Voltchkov,253.3,58.20%,70.60%,48.10%,74.60%,6.2,4.4
Rik De Voest,253.2,60.40%,68.20%,48.60%,73.90%,4,1.9
Roko Karanusic,253.2,61.20%,67.30%,50.10%,72.00%,4.2,1.6
Omar Camporese,253.1,51.00%,73.50%,49.30%,76.20%,5.7,2.6
Leander Paes,253.1,60.00%,69.90%,47.80%,75.50%,3.7,3.8
Jonas Svensson,253.1,64.60%,66.00%,48.70%,72.90%,2.9,2
Gilbert Schaller,253.1,75.70%,60.80%,48.60%,67.80%,1.2,1
Alex Bogomolov Jr.,253,68.90%,64.60%,48.40%,71.90%,2.2,3
Radu Albot,253,64.60%,65.40%,50.40%,72.80%,2.8,3
Marton Fucsovics,253,56.00%,70.30%,50.30%,75.70%,4.3,3.6
Patrik Kuhnen,253,55.40%,73.60%,45.90%,75.80%,6.5,4.2
Lukasz Kubot,252.9,62.20%,68.70%,47.60%,74.00%,5,4.6
Mariano Zabaleta,252.9,57.50%,69.40%,50.10%,75.20%,4.1,3.4
Daniel Gimeno-Traver,252.8,59.00%,69.40%,48.70%,74.10%,4.5,2.9
Juan Ignacio Chela,252.7,60.40%,67.90%,50.30%,73.90%,3.1,2.9
Jens Knippschild,252.7,51.10%,74.20%,48.70%,75.30%,7.1,3.7
Rainer Schuettler,252.7,59.00%,68.30%,51.00%,74.20%,3.3,3.1
Hicham Arazi,252.6,57.20%,68.70%,50.40%,74.40%,4,2.1
Patrick Baur,252.5,56.60%,70.10%,49.80%,75.00%,4.2,3.2
David Engel,252.5,65.40%,65.10%,49.20%,72.00%,2.9,2.1
Henrik Holm,252.4,51.10%,77.60%,45.10%,77.20%,8.6,7.2
Henri Leconte,252.4,49.90%,74.10%,49.80%,77.10%,6.2,4.7
Tim Smyczek,252.4,61.50%,66.40%,50.30%,72.50%,4.4,2.7
Gaston Etlis,252.3,57.30%,69.70%,49.20%,74.30%,5.1,3.3
Jan Hernych,252.2,65.70%,64.50%,49.50%,71.60%,3,2.1
Nicolas Kicker,252.2,62.30%,65.70%,51.40%,73.10%,2.3,2.6
Martin Klizan,252.2,58.10%,68.90%,49.50%,74.70%,4.7,3.7
Paolo Lorenzi,252.2,58.60%,69.00%,49.40%,73.90%,4,2.7
Lorenzo Manta,252.2,51.00%,76.10%,46.30%,76.00%,9.6,6.8
Evgeny Korolev,252,58.40%,70.70%,47.50%,74.00%,4.9,3.5
Yoshihito Nishioka,252,64.50%,63.30%,53.00%,71.30%,1.8,1.9
Olivier Rochus,252,61.30%,66.30%,51.50%,73.80%,1.7,2.6
Brian Vahaly,252,64.50%,64.20%,51.40%,72.50%,2.7,3.3
Hendrik Jan Davids,251.9,58.90%,69.50%,47.70%,74.30%,3.9,2.4
Sargis Sargsian,251.9,60.50%,68.20%,48.80%,73.50%,4.1,3.2
Nikoloz Basilashvili,251.8,60.60%,67.40%,50.10%,74.20%,4.1,4.6
Andres Gomez,251.7,56.10%,71.30%,47.30%,74.80%,5.7,3.5
Andrey Golubev,251.7,58.80%,68.20%,49.80%,74.00%,4.2,3.3
Michael Kohlmann,251.6,60.40%,69.20%,46.50%,73.30%,5.3,3.1
Jeff Tarango,251.6,61.40%,67.70%,48.60%,73.80%,4,3.9
Thierry Champion,251.4,72.00%,61.30%,49.80%,67.80%,1.7,1.2
Gaston Gaudio,251.4,62.00%,66.90%,49.90%,72.90%,2.8,3.1
Henri Laaksonen,251.4,58.80%,69.70%,48.40%,73.60%,5.5,4.6
Carl-Uwe Steeb,251.4,59.30%,66.70%,50.60%,73.70%,2.8,1.7
Somdev Devvarman,251.3,60.30%,66.80%,49.50%,72.60%,3.8,1.7
Matthew Ebden,251.3,60.80%,70.70%,45.40%,73.30%,5.9,4.8
Olivier Patience,251.3,62.80%,65.70%,48.90%,72.50%,4.3,2.9
Mikael Tillstrom,251.3,59.10%,68.70%,48.80%,73.90%,4.1,3.3
Anders Jarryd,251.1,54.40%,71.90%,49.60%,75.30%,3.6,3.7
Vincent Spadea,251.1,57.80%,67.70%,50.80%,73.90%,3.6,2.7
Diego Hartfield,251,65.20%,65.20%,48.10%,71.70%,3.8,3
Andreas Haider-Maurer,251,55.80%,71.90%,46.50%,74.80%,7.2,5.2
Leonardo Lavalle,251,63.30%,67.80%,47.60%,71.70%,4.1,3.5
Illya Marchenko,250.8,57.80%,70.70%,47.30%,74.50%,4.7,4.2
Yuri Schukin,250.8,61.30%,66.00%,50.40%,73.20%,2.6,2.7
Arne Thoms,250.8,58.00%,72.60%,44.50%,76.10%,5.6,6
Alexander Volkov,250.8,52.60%,71.80%,49.20%,75.80%,5,3.6
Guillermo Garcia-Lopez,250.7,58.70%,69.20%,48.90%,74.30%,3.6,4
Daniel Koellerer,250.7,69.20%,63.40%,49.20%,69.20%,1.6,1.9
Benoit Paire,250.7,51.70%,74.50%,46.10%,74.70%,8.5,4.8
Martin Sinner,250.7,55.90%,71.20%,48.50%,75.20%,4.8,4.9
David Witt,250.7,51.40%,75.60%,45.40%,75.20%,7.9,4.8
Fred Gil,250.6,64.00%,64.80%,49.80%,71.70%,2.4,2.1
Ilya Ivashka,250.5,58.80%,71.30%,46.00%,72.70%,6,4.3
Alexander Peya,250.5,61.40%,68.70%,46.70%,73.30%,4.3,3.9
Davide Sanguinetti,250.3,56.20%,70.20%,47.60%,73.30%,5.5,2.5
Ricardo Mello,250.2,63.50%,64.60%,50.90%,71.20%,2.5,2.5
David Prinosil,250.2,51.20%,74.60%,46.80%,75.40%,7.2,5
Guillaume Rufin,250.2,54.50%,69.80%,49.40%,74.10%,7.3,4.9
Diego Schwartzman,250.2,61.80%,66.10%,50.40%,72.30%,2.4,2.8
Jimmy Arias,250.1,69.10%,63.10%,49.30%,69.60%,1.9,2.9
Teymuraz Gabashvili,250.1,57.30%,70.00%,48.30%,74.00%,4.5,4
Bjorn Fratangelo,250,56.40%,67.70%,51.30%,73.50%,4.8,3.7
Marinko Matosevic,250,59.70%,67.80%,48.20%,72.80%,4.4,2.9
Adrian Voinea,249.9,56.90%,69.00%,49.30%,72.50%,5.4,3.2
Jan Vacek,249.9,57.60%,69.10%,48.70%,73.20%,4.6,3.3
Karim Alami,249.8,56.20%,70.60%,47.80%,73.60%,4.5,2.9
Carlos Berlocq,249.8,64.30%,65.90%,48.20%,70.70%,3.2,2.5
Hernan Gumy,249.8,62.40%,67.30%,48.50%,72.40%,2.8,3.6
Lionel Roux,249.8,56.50%,68.90%,49.50%,74.10%,3.8,3
Thomas Fabbiano,249.7,65.30%,65.10%,49.30%,71.20%,2,3.2
Martin Vassallo Arguello,249.7,67.60%,63.80%,48.40%,69.80%,2.7,2.6
Paul Wekesa,249.7,63.30%,69.00%,44.90%,72.70%,3.3,3.5
Damir Dzumhur,249.6,64.20%,65.10%,49.60%,70.90%,2.6,2.8
Marcelo Filippini,249.5,66.30%,63.70%,49.80%,69.90%,1.7,1.9
Werner Eschauer,249.4,58.40%,68.20%,48.30%,72.50%,5.1,3.1
Malek Jaziri,249.4,53.80%,70.80%,48.60%,75.20%,4.2,3.2
Patrick McEnroe,249.4,60.70%,66.50%,49.10%,73.20%,3,3.1
David Pate,249.4,61.00%,67.50%,47.10%,71.70%,5.4,3.3
Mats Wilander,249.4,65.50%,66.30%,46.10%,70.80%,3,2.3
Neville Godwin,249.3,54.20%,72.80%,47.10%,75.20%,5.2,5.2
Jesse Levine,249.3,60.10%,67.30%,48.50%,72.90%,5,4.5
Jimmy Wang,249.3,61.70%,65.10%,50.10%,71.00%,3.7,2.3
Robbie Weiss,249.3,66.50%,65.90%,46.40%,71.00%,2.4,2.9
Jean-Philippe Fleurian,249.2,60.00%,66.80%,49.10%,72.90%,3.2,2.8
Stefan Koubek,249.2,59.90%,66.10%,50.80%,71.90%,3.6,3.1
Facundo Bagnis,249.1,61.00%,67.00%,48.90%,71.90%,4.2,3.9
Renzo Furlan,249.1,59.20%,67.20%,49.40%,72.00%,3.1,1.8
Emilio Benfele Alvarez,249,59.50%,68.40%,46.40%,73.70%,4.1,3.1
Jordi Arrese,249,72.30%,61.80%,48.00%,68.00%,1,2.1
Christian Vinck,249,64.70%,65.00%,48.20%,71.40%,3,3.3
Gabriel Markus,248.8,63.80%,64.80%,49.70%,71.40%,1.7,2.6
Tomas Nydahl,248.8,65.80%,67.20%,45.00%,71.50%,3.4,4.1
Peter Polansky,248.8,58.10%,68.00%,49.30%,72.20%,4.5,3.3
Harel Levy,248.7,58.10%,68.80%,47.50%,72.30%,3.9,1.9
Diego Nargiso,248.7,53.70%,72.90%,46.10%,74.60%,6.3,4.9
Fabrice Santoro,248.7,57.60%,67.00%,50.60%,72.80%,3.1,2.4
Filip Dewulf,248.5,55.50%,71.10%,47.60%,74.90%,4,4.6
Andrew Ilie,248.5,54.10%,69.10%,49.70%,74.10%,4.9,3.4
Dudi Sela,248.4,60.20%,66.70%,50.30%,71.90%,2.3,3
Alex Antonitsch,248.3,54.90%,69.90%,48.70%,73.70%,4.4,3.3
Gilad Bloom,248.2,63.30%,65.30%,48.70%,71.20%,2.3,2.6
Bernd Karbacher,248.2,53.90%,70.50%,48.40%,73.00%,5.4,3
Mark Petchey,248.2,57.70%,69.60%,47.00%,74.10%,4.9,5.1
Slava Dosedel,248.1,64.80%,64.40%,48.70%,70.30%,2.6,2.7
Taro Daniel,248.1,63.50%,65.40%,48.50%,70.40%,3.2,2.9
Ronald Agenor,248,64.20%,64.60%,48.20%,69.80%,3.1,1.9
Alessandro Giannessi,248,65.70%,65.00%,47.40%,70.70%,3.5,4.3
Fernando Meligeni,248,56.60%,68.90%,49.10%,73.20%,3.5,3.3
Tomas Zib,248,59.10%,67.00%,49.20%,71.10%,3.6,2
Michael Russell,247.9,65.70%,64.70%,48.40%,69.90%,2.5,3.3
Carlos Costa,247.8,55.40%,69.30%,48.80%,72.70%,4.2,2.6
Paolo Cane,247.7,50.90%,70.80%,49.20%,73.70%,5.2,2.1
Alejandro Falla,247.7,59.30%,66.70%,49.40%,71.70%,3.3,2.7
Jimmy Connors,247.6,65.10%,62.80%,50.10%,70.30%,1.8,2.5
Lars Jonsson,247.6,66.00%,62.50%,49.50%,68.40%,2.7,1.5
Danilo Marcelino,247.6,57.60%,68.60%,47.80%,72.70%,3.7,2.8
Dennis Van Scheppingen,247.6,58.60%,69.60%,47.10%,72.70%,3.7,4.1
Christo Van Rensburg,247.6,57.90%,71.10%,47.20%,74.20%,4,6.8
Markus Hantschk,247.5,57.30%,68.40%,48.50%,71.90%,3.9,2.5
Tatsuma Ito,247.5,58.00%,67.50%,49.60%,71.70%,4,3.3
Juan Albert Viloca-Puig,247.5,60.10%,67.60%,47.90%,71.50%,3.2,2.8
Johan Van Herck,247.5,55.50%,69.20%,48.80%,73.40%,4.1,3.5
Todd Woodbridge,247.5,59.10%,68.80%,47.30%,73.80%,3,4.5
Hendrik Dreekmann,247.4,50.40%,73.70%,47.60%,75.30%,5.3,4.9
Adrian Garcia,247.4,59.70%,66.70%,50.20%,71.20%,2.6,3
Jesse Huta Galung,247.4,54.70%,72.60%,45.20%,71.90%,6.9,3.9
Ryan Sweeting,247.4,63.20%,66.90%,46.70%,71.00%,4.3,4.7
Donald Young,247.4,59.80%,67.20%,49.00%,72.10%,3.2,3.9
Simon Greul,247.3,56.50%,67.80%,49.70%,72.80%,3.8,3.3
Luis Herrera,247.3,63.00%,64.70%,49.70%,71.30%,1.5,2.9
Tom Nijssen,247.3,48.40%,72.40%,50.10%,74.70%,5.4,3.7
Paul Capdeville,247.2,60.90%,66.50%,47.90%,70.80%,4.1,3
Karol Kucera,247.2,55.50%,70.80%,47.70%,73.00%,5,4.8
Lukas Dlouhy,247.1,61.90%,68.10%,45.90%,71.10%,5.4,5.3
Oscar Hernandez,247.1,65.20%,64.40%,47.60%,70.00%,2.4,2.5
Kevin Kim,247.1,58.20%,69.80%,46.10%,71.50%,4.8,3.3
Marzio Martelli,247.1,49.60%,75.90%,44.70%,74.20%,7,4.3
Galo Blanco,247,55.40%,68.60%,49.10%,72.50%,4.4,3
Andrea Gaudenzi,247,61.80%,66.50%,48.10%,71.60%,2.4,3.4
Karol Beck,246.9,54.30%,71.90%,46.40%,72.30%,6.4,4.4
Jaime Yzaga,246.9,59.50%,65.80%,50.40%,72.20%,2,3
Oleg Ogorodov,246.8,59.00%,69.30%,44.40%,71.30%,5.5,2.7
Claudio Pistolesi,246.8,67.00%,62.30%,49.00%,68.20%,2.2,1.9
Vincenzo Santopadre,246.7,55.70%,69.30%,48.10%,71.50%,4.1,2
Lars Burgsmuller,246.5,58.70%,67.60%,48.30%,71.70%,3.9,3.7
Jiri Vanek,246.4,58.50%,69.20%,45.00%,70.80%,5.9,3
Guido Andreozzi,246.3,60.70%,68.50%,45.80%,71.90%,4.1,4.7
John Fitzgerald,246.3,61.80%,67.60%,47.70%,71.10%,2.2,4.1
Chris Wilkinson,246.3,59.30%,68.90%,45.40%,72.10%,4.4,3.8
Fabio Fognini,246.2,59.20%,67.40%,48.40%,71.90%,3.2,3.9
Markus Naewie,246.2,62.30%,63.80%,50.10%,69.50%,2,1.5
Chris Garner,246,58.50%,65.10%,51.00%,69.30%,4.4,2.3
Rogerio Dutra Silva,246,60.80%,66.50%,48.80%,69.80%,3.3,3.2
Markus Hipfl,245.9,64.20%,64.50%,48.50%,68.70%,2.4,2.4
Udo Riglewski,245.9,60.40%,68.20%,45.80%,70.40%,3.5,2.4
Attila Savolt,245.9,55.30%,71.20%,46.70%,71.80%,4.9,4
Pablo Andujar,245.8,63.50%,64.60%,48.80%,70.30%,1.6,3
Michel Kratochvil,245.8,56.00%,69.60%,48.40%,73.10%,3.7,5
Gerard Solves,245.8,62.70%,66.10%,46.40%,69.70%,3.4,2.5
Bohdan Ulihrach,245.8,57.40%,68.10%,48.50%,72.30%,3.2,3.7
Olivier Delaitre,245.7,53.90%,69.60%,49.20%,73.20%,3.4,3.6
Andrei Cherkasov,245.6,60.10%,65.80%,49.00%,70.80%,2.4,2.5
Roberto Carretero,245.6,69.10%,63.60%,46.00%,69.50%,1.3,3.9
Martin Jaite,245.6,51.70%,69.20%,49.80%,72.80%,4.6,2.5
Jan Kroslak,245.6,60.90%,68.90%,44.10%,72.30%,5.3,5.9
Elias Ymer,245.6,59.20%,67.80%,46.70%,71.20%,4,3.3
Victor Crivoi,245.4,64.20%,64.10%,47.70%,67.80%,3.6,2
Flavio Saretta,245.4,58.50%,66.70%,48.40%,70.80%,4.1,3.1
Martin Rodriguez,245.2,50.00%,71.90%,48.10%,73.20%,6.6,4.6
Fernando Vicente,245.2,60.00%,66.00%,48.60%,70.40%,3,2.8
Pablo Arraya,245.1,60.80%,65.50%,48.00%,70.20%,3.6,3
Horacio De La Pena,245.1,69.40%,60.50%,49.00%,66.30%,1.2,1.3
Sebastien De Chaunac,245.1,54.80%,68.30%,48.60%,71.40%,5.8,3.8
Paul Goldstein,245,61.90%,64.90%,48.30%,70.10%,2.4,2.6
Rodolphe Gilbert,245,51.70%,70.30%,48.60%,72.70%,4.3,2.6
Igor Kunitsyn,245,60.00%,65.00%,49.60%,69.50%,2.7,1.8
Arnaud Di Pasquale,244.9,63.20%,64.90%,48.40%,69.80%,2.5,3.9
Michael Joyce,244.9,57.00%,68.10%,48.00%,72.00%,3.6,3.8
Jacobo Diaz,244.8,66.20%,62.40%,49.30%,67.60%,2.3,3
Kevin Ullyett,244.8,55.70%,70.00%,47.70%,72.20%,5,5.8
Marcos Daniel,244.7,61.40%,65.90%,46.60%,68.60%,4.3,2.1
Horst Skoff,244.7,58.60%,66.00%,49.30%,70.60%,2.9,2.7
Eric Jelen,244.6,68.70%,61.90%,46.60%,68.80%,1.4,2.8
Filippo Volandri,244.6,68.50%,61.90%,48.50%,67.40%,0.7,2.4
Nicolas Coutelot,244.5,61.10%,66.20%,46.30%,71.10%,3.4,3.6
Alberto Martin,244.4,61.10%,65.40%,49.10%,70.20%,2,3.4
John van Lottum,244.4,53.90%,69.70%,48.60%,71.90%,3.6,3.3
Nicolas Devilder,244.3,59.70%,65.00%,48.90%,70.10%,3.8,3.2
Alex Kim,244.3,64.00%,62.60%,50.00%,68.70%,2.1,3.1
Ramesh Krishnan,244.3,69.00%,61.70%,48.60%,67.00%,0.6,2.6
Ivo Heuberger,244.2,52.00%,71.30%,46.20%,71.80%,6.4,3.5
Jeremy Bates,244,55.60%,70.20%,46.00%,72.70%,3.5,4
Oliver Marach,244,55.50%,68.40%,47.70%,70.70%,4.6,2.9
Jordi Burillo,243.9,52.40%,71.80%,46.00%,71.50%,5.9,3.7
Yuki Bhambri,243.8,64.00%,63.50%,48.70%,68.80%,2.2,3.4
Denis Gremelmayr,243.8,57.30%,66.00%,49.00%,70.20%,3.9,2.6
Cristiano Caratti,243.7,63.60%,64.30%,47.80%,69.20%,2.1,3.3
Inigo Cervantes,243.7,51.10%,71.20%,47.50%,71.70%,6.4,4.2
Nuno Marques,243.7,64.40%,64.20%,46.60%,68.70%,2.8,3
Franco Squillari,243.7,57.00%,68.30%,47.50%,72.00%,3.6,4.7
Irakli Labadze,243.6,61.10%,67.50%,45.70%,70.40%,4.7,5.8
Sandor Noszaly,243.5,65.00%,66.80%,42.40%,69.20%,5.1,5
Wayne Black,243.4,57.90%,64.50%,50.90%,69.70%,2.9,2.5
Tobias Kamke,243.4,58.90%,65.50%,49.40%,71.00%,2,3.4
Sergio Roitman,243.4,64.10%,63.90%,46.30%,67.70%,3,1.6
Marc Lopez,243.3,66.30%,62.60%,47.00%,68.10%,0.6,1.3
Peter Lundgren,243.1,52.10%,69.00%,49.00%,72.70%,5,4.7
Danai Udomchoke,243.1,61.50%,66.40%,46.30%,69.10%,3.4,3.6
Blaz Kavcic,243,62.90%,65.50%,46.20%,68.00%,4.2,3.8
Stefano Pescosolido,243,52.10%,71.00%,47.50%,72.40%,4.4,4.4
Tomas Behrend,242.9,59.90%,67.60%,45.90%,69.40%,3.9,3.8
Alejandro Gonzalez,242.8,59.70%,65.70%,47.50%,68.40%,3.9,2.4
Luke Jensen,242.8,58.30%,68.20%,45.80%,70.30%,4.3,4.1
Vincent Millot,242.8,59.20%,66.50%,47.10%,69.20%,4.1,3.3
Carsten Arriens,242.6,57.60%,67.40%,46.60%,70.10%,3.2,2.3
Gastao Elias,242.6,52.30%,68.70%,49.90%,70.80%,3.8,2.9
Mauricio Hadad,242.6,63.10%,62.60%,49.10%,68.80%,1.4,2.4
Christian Miniussi,242.6,58.80%,66.90%,47.80%,69.70%,2.6,3.2
Stefano Galvani,242.4,58.80%,65.80%,49.30%,70.30%,2.8,4.6
Grant Stafford,242.4,60.10%,67.50%,45.40%,69.70%,3.6,3.9
Thiago Alves,242.3,63.60%,63.50%,47.80%,67.30%,2.7,2.6
Maximo Gonzalez,242.3,64.60%,62.60%,47.70%,68.20%,1.8,2.6
Stephane Huet,242.3,51.40%,69.50%,47.90%,70.70%,6,3.2
Claudio Mezzadri,242.3,55.90%,66.90%,49.40%,70.50%,2.8,3.2
David Sanchez,242.1,61.30%,64.90%,47.50%,68.30%,2.4,2.3
Todd Witsken,242.1,60.10%,65.80%,47.60%,69.50%,2.5,3.4
Tomas Carbonell,242,67.20%,64.50%,44.00%,67.50%,2.7,3.9
Scott Davis,242,56.50%,69.20%,46.10%,72.20%,3.4,5.4
Rui Machado,242,66.40%,62.90%,46.50%,68.10%,1.6,3.5
Marcos Aurelio Gorriz,241.9,59.10%,65.20%,48.10%,69.00%,2.2,1.7
Jan Hajek,241.8,62.80%,63.70%,47.20%,66.90%,3.1,1.9
Albert Portas,241.8,57.10%,67.90%,46.40%,70.00%,4.1,3.7
Cecil Mamiit,241.7,58.10%,66.40%,48.00%,68.80%,3.2,2.8
Jose Francisco Altur,241.6,65.50%,64.00%,44.80%,67.60%,2.8,3.1
Martin Lee,241.6,57.60%,68.60%,44.20%,68.80%,5.1,2.7
Go Soeda,241.5,55.50%,67.30%,48.40%,70.10%,2.9,2.7
Gianluca Pozzi,241.4,48.10%,71.40%,48.70%,72.00%,4,2.8
Maurice Ruah,241.3,57.50%,66.50%,47.60%,69.60%,2.9,2.8
Xavier Daufresne,241.1,60.90%,66.70%,45.50%,67.40%,3.2,2.6
Marcello Craca,241,64.60%,61.00%,50.10%,65.50%,2.2,2.4
Mark Koevermans,240.9,56.30%,67.00%,47.20%,69.00%,3.3,1.9
Boris Pashanski,240.8,58.90%,66.10%,46.90%,69.80%,2.6,3.5
Andrei Chesnokov,240.7,58.20%,65.00%,48.40%,68.90%,2.9,2.7
Daniel Munoz de la Nava,240.7,56.80%,66.90%,48.40%,69.50%,2.9,3.8
Bjorn Phau,240.7,52.80%,68.00%,49.30%,70.40%,3.7,3.5
Franco Davin,240.6,69.70%,60.90%,46.00%,64.60%,1.3,1.9
Julian Alonso,240.4,55.00%,67.80%,47.70%,70.60%,4.2,4.9
Jamie Delgado,240.4,54.10%,70.30%,45.00%,70.20%,5.1,4.3
Eyal Ran,240.4,56.80%,65.30%,48.50%,68.90%,3.4,2.5
Renzo Olivo,240.3,58.90%,66.60%,47.50%,68.60%,3.5,4.8
Marcos Ondruska,240.2,58.50%,66.40%,46.10%,69.90%,2.8,3.5
Francisco Montana,239.9,64.50%,61.20%,49.20%,66.40%,1.4,2.8
Fernando Roese,239.9,58.50%,65.00%,48.40%,68.30%,2.7,3
Cedrik-Marcel Stebe,239.9,61.30%,64.20%,47.00%,67.00%,3.3,2.9
Marcelo Charpentier,239.8,69.60%,60.30%,46.10%,65.60%,1.6,3.4
Steve Bryan,239.6,62.10%,64.20%,46.40%,68.10%,1.7,2.9
Andrew Sznajder,239.6,57.40%,66.30%,46.40%,69.50%,3.9,3.9
Alejandro Hernandez,239.4,58.20%,67.50%,45.10%,68.30%,4.4,4.1
Joao Cunha-Silva,239.3,62.00%,63.80%,46.20%,67.40%,2.4,2.5
Thierry Guardiola,239.3,55.30%,66.20%,47.90%,68.40%,3.3,1.8
Frederik Fetterlein,239.3,58.60%,69.30%,43.00%,69.20%,4.9,5.7
Christian Ruud,239.3,59.10%,64.70%,47.60%,68.20%,2.6,2.9
Pere Riba,239,55.20%,66.60%,47.10%,68.30%,4.8,3
Danny Sapsford,238.7,55.00%,66.40%,48.80%,68.90%,2.3,2.7
Andre Sa,238.5,58.90%,64.80%,47.90%,67.30%,2.9,3.3
Ruben Ramirez Hidalgo,238.5,57.10%,66.90%,46.40%,68.80%,3,3.7
Mikael Pernfors,238.3,52.60%,66.80%,49.50%,69.00%,3,2.6
Dimitri Poliakov,238.1,59.30%,64.30%,47.50%,67.70%,2.1,2.8
Lars-Anders Wahlgren,238,60.50%,63.20%,47.00%,65.90%,2.9,1.5
Mark Knowles,237.9,55.90%,68.60%,44.80%,69.90%,3.9,5.2
Antonio Veic,237.9,61.80%,64.70%,45.60%,65.90%,2.8,2.9
Stephane Robert,237.7,53.10%,69.10%,46.70%,69.30%,3.8,4.3
Lucas Arnold Ker,237.6,60.50%,66.60%,43.20%,69.40%,2.7,4.8
Oliver Gross,237.6,57.50%,67.10%,45.30%,68.40%,3.3,4
David Rikl,237.6,57.00%,66.30%,46.60%,68.90%,2.7,3.9
Robin Vik,237.6,62.80%,65.80%,43.10%,65.90%,3.7,3.7
Roberto Azar,237.3,68.70%,61.50%,43.80%,64.60%,1.8,3.1
Steve Campbell,237.3,58.70%,65.20%,46.40%,67.00%,3,3
Santiago Ventura,237.1,53.80%,67.90%,46.50%,68.20%,3.8,3.1
Dinu Pescariu,237,66.50%,61.50%,45.70%,63.50%,2.4,2.6
Eduardo Masso,236.9,70.80%,57.30%,48.10%,62.00%,0.8,2.1
Doug Flach,236.8,57.20%,65.60%,46.70%,67.80%,3.1,3.6
Olivier Mutis,236.6,53.40%,66.90%,47.00%,68.50%,3.9,3.1
Orlin Stanoytchev,236.2,56.20%,68.70%,44.20%,68.30%,5,6.2
Christophe Rochus,236.1,60.80%,63.70%,46.50%,66.20%,1.8,2.9
Adrian Ungur,235.8,60.70%,64.00%,46.50%,66.30%,2.3,4
Tuomas Ketola,235.3,54.20%,68.70%,44.30%,66.50%,5.3,3.7
Daniel Orsanic,235.2,60.40%,64.00%,45.60%,66.20%,1.6,2.6
Jaime Oncins,235.1,55.90%,68.30%,44.40%,68.40%,2.9,4.8
Martin Strelba,235.1,56.90%,65.50%,45.50%,66.70%,3.2,2.7
Alex Lopez Moron,235,58.00%,65.90%,45.50%,67.70%,1.9,4
Julian Knowle,234.9,57.00%,67.60%,44.30%,68.70%,3.4,6.1
Andrei Stoliarov,234.7,47.10%,69.10%,48.10%,69.50%,5,4.1
Axel Pretzsch,234.4,54.90%,68.10%,44.70%,67.10%,4.3,4.7
Diego Perez,233.8,60.60%,61.50%,48.40%,63.80%,2.3,2.8
Thomas Hogstedt,233.7,51.50%,67.90%,46.70%,67.10%,4.3,3.8
Alessio Di Mauro,233.3,57.80%,63.40%,46.30%,64.30%,3.7,2.2
Juan Antonio Marin,233,56.70%,63.90%,47.50%,65.60%,1.9,2.6
German Puentes,232.8,65.20%,59.60%,47.10%,62.30%,1.3,2.7
