Player,serveRating,1stServePct,1stServePointsWonPct,2ndServePointsWonPct,serviceGamesWonPct,avgAcesPerMatch,avgDblFaultsPerMatch
Javier Frana,271.2,61.60%,72.90%,51.40%,80.80%,6.2,1.7
Alex Radulescu,271.2,56.30%,77.10%,49.30%,81.60%,10.5,3.6
Borna Coric,271.1,61.90%,71.80%,53.20%,80.70%,5.8,2.3
Roberto Bautista Agut,271,65.90%,69.90%,53.70%,80.30%,3.2,2
Gustavo Kuerten,271,54.70%,76.20%,51.60%,82.50%,8.5,2.5
Fernando Verdasco,271,67.10%,70.90%,51.00%,80.50%,5.5,4
Ivan Lendl,270.8,56.00%,76.00%,52.20%,82.40%,6.9,2.7
Gael Monfils,270.8,62.30%,72.90%,50.10%,80.70%,8.3,3.5
Pierre-Hugues Herbert,270.7,59.40%,73.90%,50.90%,81.60%,8.8,3.9
Andy Murray,270.7,58.10%,74.50%,51.90%,81.90%,6.8,2.5
Taylor Fritz,270.3,58.20%,74.50%,50.30%,81.20%,8.7,2.6
Ernests Gulbis,270.2,60.20%,75.20%,48.40%,81.20%,9.4,4.2
Felix Auger-Aliassime,270.1,64.30%,73.20%,49.10%,79.80%,8.3,4.6
Jiri Vesely,270.1,64.00%,71.60%,50.90%,80.20%,7.1,3.7
Simone Bolelli,270,66.40%,69.00%,52.90%,79.10%,4.1,1.5
Miomir Kecmanovic,270,61.00%,72.00%,54.50%,81.30%,3.5,2.3
Daniil Medvedev,270,59.30%,73.70%,51.70%,81.20%,7.6,3.5
Jack Sock,269.9,58.40%,74.00%,52.80%,82.40%,6.6,4.3
Frances Tiafoe,269.9,62.50%,71.40%,51.90%,79.70%,7,2.6
Amer Delic,269.7,59.70%,72.30%,50.40%,80.10%,10.3,3.1
Jan-Michael Gambill,269.7,55.80%,76.30%,49.10%,81.10%,10.8,3.4
Nicolas Mahut,269.7,60.80%,73.30%,50.40%,81.00%,7.7,3.5
Maximilian Marterer,269.7,63.40%,69.50%,53.50%,79.10%,6.2,2
Radek Stepanek,269.6,62.00%,72.80%,50.80%,80.80%,6.3,3.1
Kenneth Carlsen,269.4,58.20%,75.00%,50.20%,81.40%,7.9,3.3
Jeremy Chardy,269.3,60.10%,74.50%,49.60%,81.10%,8.2,4.2
Kyle Edmund,269.3,59.70%,72.90%,52.20%,81.20%,5.9,2.6
Younes El Aynaoui,269.2,61.80%,72.60%,50.10%,80.80%,7,3.1
Tommy Haas,269.2,58.40%,74.20%,52.00%,81.60%,6.9,3.9
Juan Carlos Ferrero,268.9,64.00%,69.20%,54.20%,79.70%,4.1,2.3
Bob Bryan,268.8,62.00%,72.30%,50.90%,78.80%,7.2,2.4
